rule,side,return_low,return_high,close_location,relative_volume,minimum_price,horizon,train_n,train_mean_return,train_median_return,train_win_rate,train_profit_factor,train_t_stat,train_worst_trade,train_best_trade,validation_n,validation_mean_return,validation_median_return,validation_win_rate,validation_profit_factor,validation_t_stat,validation_worst_trade,validation_best_trade,test_n,test_mean_return,test_median_return,test_win_rate,test_profit_factor,test_t_stat,test_worst_trade,test_best_trade,sample_size_pass,stable_positive,robust_score
failed_spike_cl0.30_rv1.5_px3,short,,,0.3,1.5,3.0,60,25,0.23506678401436243,0.42151694892757985,0.88,3.2926177479896905,2.3072706168810933,-1.729534121544597,0.8283333292273514,96,0.16480309683730454,0.2913513477236311,0.7604166666666666,2.2184499432734675,2.4430835462666245,-4.955121951219512,0.8622222248713175,175,0.31524623726938905,0.4435210910679308,0.7942857142857143,3.6710362775325227,5.715990304247199,-6.857825917945238,0.9671212122657082,False,False,0.536944399260841
failed_spike_cl0.30_rv2_px3,short,,,0.3,2.0,3.0,60,25,0.23506678401436243,0.42151694892757985,0.88,3.2926177479896905,2.3072706168810933,-1.729534121544597,0.8283333292273514,96,0.16480309683730454,0.2913513477236311,0.7604166666666666,2.2184499432734675,2.4430835462666245,-4.955121951219512,0.8622222248713175,174,0.3137222288773609,0.43989488527933035,0.7931034482758621,3.642934294854864,5.657919509306465,-6.857825917945238,0.9671212122657082,False,False,0.536944399260841
failed_spike_cl0.30_rv3_px3,short,,,0.3,3.0,3.0,60,25,0.23506678401436243,0.42151694892757985,0.88,3.2926177479896905,2.3072706168810933,-1.729534121544597,0.8283333292273514,96,0.16480309683730454,0.2913513477236311,0.7604166666666666,2.2184499432734675,2.4430835462666245,-4.955121951219512,0.8622222248713175,173,0.31355794766311945,0.4435210910679308,0.791907514450867,3.6263689938532084,5.622387724365784,-6.857825917945238,0.9671212122657082,False,False,0.536944399260841
failed_spike_cl0.40_rv1.5_px10,short,,,0.4,1.5,10.0,40,31,0.2576861950419009,0.34935199866401323,0.8064516129032258,4.947942145689503,3.6320295176709245,-1.1175269515543695,0.8385333379109701,109,0.1541873385605422,0.25296296296296295,0.7064220183486238,2.1989181268169666,2.5166891246699508,-4.939878048780487,0.9276223073350136,167,0.3029877157772729,0.4089988457421131,0.8562874251497006,3.5553814735574965,5.023629195637823,-6.923043974027301,0.972499999495653,False,False,0.5343725950064078
failed_spike_cl0.40_rv2_px10,short,,,0.4,2.0,10.0,40,31,0.2576861950419009,0.34935199866401323,0.8064516129032258,4.947942145689503,3.6320295176709245,-1.1175269515543695,0.8385333379109701,109,0.1541873385605422,0.25296296296296295,0.7064220183486238,2.1989181268169666,2.5166891246699508,-4.939878048780487,0.9276223073350136,166,0.3018559478133886,0.40774158269087263,0.8554216867469879,3.530591677579075,4.97568073400442,-6.923043974027301,0.972499999495653,False,False,0.5343725950064078
failed_spike_cl0.40_rv3_px10,short,,,0.4,3.0,10.0,40,31,0.2576861950419009,0.34935199866401323,0.8064516129032258,4.947942145689503,3.6320295176709245,-1.1175269515543695,0.8385333379109701,109,0.1541873385605422,0.25296296296296295,0.7064220183486238,2.1989181268169666,2.5166891246699508,-4.939878048780487,0.9276223073350136,164,0.3042694295327486,0.4094284979111548,0.8597560975609756,3.537791629448437,4.959688688930113,-6.923043974027301,0.972499999495653,False,False,0.5343725950064078
failed_spike_cl0.40_rv5_px5,short,,,0.4,5.0,5.0,40,33,0.21934496989417207,0.2546271578294912,0.7575757575757576,3.7867607466819253,3.099635737126814,-1.1175269515543695,0.8385333379109701,122,0.1508561235154063,0.25521740642985824,0.7131147540983607,2.1647184265158375,2.6858428190576706,-4.939878048780487,0.9276223073350136,214,0.3113424831292158,0.3948939192290349,0.8411214953271028,4.69088154660551,7.187573526777754,-6.923043974027301,0.972499999495653,False,False,0.5319730788613487
failed_spike_cl0.30_rv10_px3,short,,,0.3,10.0,3.0,60,24,0.22635184490903235,0.4128637171688467,0.875,3.119315703153844,2.138848223096088,-1.729534121544597,0.8283333292273514,91,0.16420850761670883,0.29270269544726213,0.7582417582417582,2.193030175046728,2.3273757894988285,-4.955121951219512,0.8622222248713175,153,0.2816761711941681,0.42483440717926546,0.7712418300653595,3.0872504688815705,4.531191608352992,-6.857825917945238,0.9671212122657082,False,False,0.5285667954051099
failed_spike_cl0.30_rv1.5_px10,short,,,0.3,1.5,10.0,60,23,0.2776026423140494,0.4392857251848493,0.9130434782608695,4.234149592407855,2.6667470613835245,-1.729534121544597,0.8283333292273514,80,0.16623782926743394,0.288562306030366,0.7625,2.2037653658796557,2.126960088241534,-4.955121951219512,0.8622222248713175,116,0.3620254507989355,0.5728903773758807,0.8275862068965517,3.782132655238505,4.763856573844598,-6.857825917945238,0.9671212122657082,False,False,0.5283127700520963
failed_spike_cl0.30_rv2_px10,short,,,0.3,2.0,10.0,60,23,0.2776026423140494,0.4392857251848493,0.9130434782608695,4.234149592407855,2.6667470613835245,-1.729534121544597,0.8283333292273514,80,0.16623782926743394,0.288562306030366,0.7625,2.2037653658796557,2.126960088241534,-4.955121951219512,0.8622222248713175,115,0.3601263356103845,0.5685714285714285,0.8260869565217391,3.743680040472197,4.699304008226734,-6.857825917945238,0.9671212122657082,False,False,0.5283127700520963
